run_id,video,start,end,hoop_config,model,imgsz,confidence,tracker,possession_dist_px,upward_trigger,made_window,hoop_pad
0,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-8.0,60,20
1,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-12.0,45,14
2,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-16.0,30,8
3,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-8.0,60,20
4,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-12.0,45,14
5,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-16.0,30,8
6,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-8.0,60,20
7,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-12.0,45,14
8,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-16.0,30,8
9,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-8.0,60,20
10,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-12.0,45,14
11,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-16.0,30,8
12,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.25,bytetrack.yaml,200.0,-8.0,60,20
13,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.25,bytetrack.yaml,200.0,-12.0,45,14
14,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.25,bytetrack.yaml,200.0,-16.0,30,8
15,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.35,bytetrack.yaml,200.0,-8.0,60,20
