run_id,video,start,end,hoop_config,model,imgsz,confidence,rim_tracker_kind,rim_reseed_every,upward_trigger,history_frames,release_dist_px,approach_dist_px,cooldown_frames,possession_dist_px,occlusion_gap_frames,attempt_to_made_window,enter_zone_radius_factor,horizontal_pad_factor,min_downward_velocity
0,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.30,static,9999,-10.0,6,60.0,260.0,20,140.0,10,90,2.0,1.5,1.5
1,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.30,csrt,90,-10.0,6,60.0,260.0,20,140.0,10,90,2.0,1.5,1.5
2,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.25,static,9999,-10.0,6,60.0,260.0,20,140.0,10,90,2.0,1.5,1.5
3,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.25,csrt,90,-10.0,6,60.0,260.0,20,140.0,10,90,2.0,1.5,1.5
4,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.30,csrt,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
5,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.25,csrt,90,-12.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
6,1v1-mk.mov,452.0,514.0,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.30,csrt,90,-10.0,6,60.0,260.0,20,140.0,10,90,2.0,1.5,1.5
7,1v1-mk.mov,452.0,514.0,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.25,csrt,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
8,1v1-ddg.mp4,522.0,584.0,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,1280,0.30,csrt,90,-10.0,6,60.0,260.0,20,140.0,10,90,2.0,1.5,1.5
9,1v1-ddg.mp4,522.0,584.0,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,1280,0.25,csrt,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
10,1v1-jason.mp4,240.0,300.0,experiments/demo/hoop_configs/1v1-jason.json,yolov8m.pt,1280,0.30,csrt,90,-10.0,6,60.0,260.0,20,140.0,10,90,2.0,1.5,1.5
11,1v1-jason.mp4,240.0,300.0,experiments/demo/hoop_configs/1v1-jason.json,yolov8x.pt,1280,0.25,csrt,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
