sweep_id,upward_trigger,history_frames,release_dist_px,approach_dist_px,cooldown_frames,occlusion_gap_frames,attempt_to_made_window,enter_zone_radius_factor,horizontal_pad_factor,min_downward_velocity
s01,-8,6,60,260,20,5,60,2.0,1.2,1.0
s02,-8,6,60,260,20,10,90,2.0,1.5,1.5
s03,-8,6,60,260,20,15,120,2.5,2.0,1.0
s04,-12,6,60,260,20,5,60,2.0,1.2,1.5
s05,-12,6,60,260,20,10,90,2.0,1.5,1.5
s06,-12,6,60,260,20,15,120,2.5,2.0,1.0
s07,-12,8,80,260,25,10,90,2.0,1.5,2.0
s08,-16,6,60,260,20,10,90,2.0,1.5,1.5
s09,-16,6,60,260,20,15,120,2.5,2.0,1.0
s10,-12,6,40,320,15,10,90,2.0,1.5,1.5
s11,-12,6,80,200,25,10,90,2.0,1.5,1.5
s12,-12,6,60,260,20,10,90,1.5,1.0,1.5
s13,-12,6,60,260,20,10,90,3.0,2.5,1.0
s14,-10,6,60,260,20,10,90,2.0,1.5,1.5
s15,-10,6,60,260,20,20,150,2.5,2.0,1.0
