task_id,variant,run_id,video,start,end,hoop_config,model,imgsz,confidence,rim_tracker_kind,rim_reseed_every,upward_trigger,history_frames,release_dist_px,approach_dist_px,cooldown_frames,possession_dist_px,occlusion_gap_frames,attempt_to_made_window,enter_zone_radius_factor,horizontal_pad_factor,min_downward_velocity,use_yoloe,use_pose,sam3_cache,strict_consensus
0,full_ensemble,0,1v1-mk.mov,139.96,166.57,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
1,full_ensemble,1,1v1-mk.mov,173.69,202.44,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
2,full_ensemble,2,1v1-mk.mov,258.59,286.05,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
3,full_ensemble,3,1v1-mk.mov,289.06,318.66,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
4,full_ensemble,4,1v1-mk.mov,371.37,391.64,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
5,full_ensemble,5,1v1-mk.mov,514.69,541.74,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
6,full_ensemble,6,1v1-mk.mov,635.64,663.3,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
7,full_ensemble,7,1v1-mk.mov,723.13,748.35,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
8,full_ensemble,8,1v1-mk.mov,836.0,864.46,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
9,full_ensemble,9,1v1-mk.mov,884.84,908.86,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
10,full_ensemble,10,1v1-ddg.mp4,490.29,519.85,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
11,full_ensemble,11,1v1-ddg.mp4,673.78,700.17,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
12,full_ensemble,12,1v1-ddg.mp4,792.21,812.38,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
13,full_ensemble,13,1v1-ddg.mp4,1494.44,1514.95,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
14,full_ensemble,14,1v1-ddg.mp4,1604.96,1626.38,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
15,full_ensemble,15,1v1-ddg.mp4,1731.29,1756.69,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
