task_id,variant,run_id,video,start,end,hoop_config,model,imgsz,confidence,rim_tracker_kind,rim_reseed_every,upward_trigger,history_frames,release_dist_px,approach_dist_px,cooldown_frames,possession_dist_px,occlusion_gap_frames,attempt_to_made_window,enter_zone_radius_factor,horizontal_pad_factor,min_downward_velocity,use_yoloe,use_pose,sam3_cache
0,baseline_26,0,1v1-mk.mov,139.96,166.57,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,
1,baseline_26,1,1v1-mk.mov,173.69,202.44,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,
2,baseline_26,2,1v1-mk.mov,258.59,286.05,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,
3,baseline_26,3,1v1-mk.mov,289.06,318.66,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,
4,baseline_26,4,1v1-mk.mov,371.37,391.64,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,
5,baseline_26,5,1v1-mk.mov,514.69,541.74,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,
6,baseline_26,6,1v1-mk.mov,635.64,663.3,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,
7,baseline_26,7,1v1-mk.mov,723.13,748.35,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,
8,baseline_26,8,1v1-mk.mov,836.0,864.46,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,
9,baseline_26,9,1v1-mk.mov,884.84,908.86,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,
10,plus_sam3_1_26,0,1v1-mk.mov,139.96,166.57,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,sam3.1
11,plus_sam3_1_26,1,1v1-mk.mov,173.69,202.44,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,sam3.1
12,plus_sam3_1_26,2,1v1-mk.mov,258.59,286.05,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,sam3.1
13,plus_sam3_1_26,3,1v1-mk.mov,289.06,318.66,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,sam3.1
14,plus_sam3_1_26,4,1v1-mk.mov,371.37,391.64,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,sam3.1
15,plus_sam3_1_26,5,1v1-mk.mov,514.69,541.74,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,sam3.1
16,plus_sam3_1_26,6,1v1-mk.mov,635.64,663.3,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,sam3.1
17,plus_sam3_1_26,7,1v1-mk.mov,723.13,748.35,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,sam3.1
18,plus_sam3_1_26,8,1v1-mk.mov,836.0,864.46,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,sam3.1
19,plus_sam3_1_26,9,1v1-mk.mov,884.84,908.86,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,640,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,0,0,sam3.1
20,full_ensemble_26,0,1v1-mk.mov,139.96,166.57,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,960,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1
21,full_ensemble_26,1,1v1-mk.mov,173.69,202.44,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,960,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1
22,full_ensemble_26,2,1v1-mk.mov,258.59,286.05,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,960,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1
23,full_ensemble_26,3,1v1-mk.mov,289.06,318.66,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,960,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1
24,full_ensemble_26,4,1v1-mk.mov,371.37,391.64,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,960,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1
25,full_ensemble_26,5,1v1-mk.mov,514.69,541.74,experiments/demo/hoop_configs/1v1-mk.json,yolo26l.pt,960,0.3,template,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1
